,Acquirer Name,0,1,2,3,4
0,Chemical Financial,CHEMICAL FINANCIAL CORPORATION,"CHAMBANCO, INC.","EXCHANGE FINANCIAL, INC.","CBFH, INC.",BNH FINANCIAL
1,First Merchants,FIRST MERCHANTS CORPORATION,FIRST FARMERS AND MERCHANTS CORPORATION,FARMERS & MERCHANTS BANCORP,"FARMERS & MERCHANTS AGENCY, INC.","FARMERS & MERCHANTS BANCORP, INC."
2,Plaza Bank,"PLAZA AGENCY, INC.",HAZARD BANCORP,PLUMAS BANCORP,"LA PLATA BANCSHARES, INC.",BNP PARIBAS
3,Cathay Gen Bancorp,CATHAY GENERAL BANCORP,PATHWAY BANCORP,"THAYER AGENCY, INC.","COASTWAY BANCORP, INC","AMBAGE, INC."
4,Unitedmmunity Banks,"UNITED COMMUNITY BANKS, INC.","ASSOCIATED COMMUNITY BANCORP, INC.",COMMUNITYCORP,"UNITED COMMUNITY BANCSHARES, INC.","UNITED COMMUNITY BANCORP, INC."
5,Farmers National Banc,FARMERS NATIONAL BANC CORP.,"FARMERS NATIONAL BANCSHARES, INC.",FIRST NATIONAL BANCORP,FIRST NATIONAL BANK CORP.,"MARS NATIONAL BANCORP, INC."
6,Ameris Bancorp,AMERIS BANCORP,"FARMMERC, INC.","AMERIGROUP, INC.","AMERIBANCSHARES, INC.","AMERISERV FINANCIAL, INC"
7,Sunshine Bancorp,"UNISOUTH, INC.","KES BANCSHARES, INC.","BANCSHARES, INC., THE","SUNSET BANCORP, INC.","LEWIS BANSHARES, INC."
8,Horizon Bancorp,HORIZON BANCORP,"HORIZON BANCORP, INC.","HORIZON BANKSHARES, INC.",FIRST HORIZON NATIONAL CORPORATION,CNB CORPORATION
9,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,"SUNTRUST BANKS, INC.","MERCHANTS TRUST, INC.","MACON BANCTRUST, INC.",INTRUST FINANCIAL CORPORATION
10,PacWest Bancorp,PACWEST BANCORP,"BANCWEST, INC.",CALWEST BANCORP,"AVEST, INC.","WESTBRAND, INC."
11,WSFS Financial,"WFC, INC.","SSB, INC.",FSB CORP.,"KSRS, LLC","SSNB, INC."
12,Howard Bancorp,"HOWARD BANCORP, INC.","FIRST HOWARD BANKSHARES, INC.",HOWARD COUNTY LAND AND CATTLE CO.,"OHNWARD BANCSHARES, INC.",HAZARD BANCORP
13,Western Alliance Bancorp,WESTERN ALLIANCE BANCORPORATION,"CORNERSTONE ALLIANCE, LTD.","WESTERN ILLINOIS BANCSHARES, INC.","WESTERN BANCSHARES, INC.","WESTERN ARIZONA BANCORP, INC."
14,Veritex Holdings,"VERITEX HOLDINGS, INC.","STEELE HOLDINGS, INC.","RAM SECURITY HOLDINGS GP, INC.","OTTEN HOLDINGS, LLC","PIPER HOLDINGS, INC."
15,Carolina Alliance Bank,"CORNERSTONE ALLIANCE, LTD.",ALLIANCE BANCORP,"COASTAL CAROLINA BANCSHARES, INC.","CAROLINA BANK HOLDINGS, INC.",FIRST CAROLINA BANCSHARES CORPORATION
16,Seacoast Bankg of Florida,STATE BANK OF INDIA,"BRANNEN BANKS OF FLORIDA, INC.","COMMUNITY BANK OF SOUTH FLORIDA, INC.",COAST BANCORP,"BANK OF NOVA SCOTIA, THE"
17,First Interstate BancSystem In,"FIRST INTERSTATE BANCSYSTEM, INC.","FIRST STATE BANCSHARES, INC.","FIRST NEBRASKA BANCS, INC.","FIRST INTERNATIONAL BANCSHARES, INC.","FIRST STATE BANCORP, INC."
18,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,"SUNTRUST BANKS, INC.","MERCHANTS TRUST, INC.","MACON BANCTRUST, INC.",INTRUST FINANCIAL CORPORATION
19,Camden National,CAMDEN NATIONAL CORPORATION,AMG NATIONAL CORP.,AMES NATIONAL CORPORATION,FARMERS NATIONAL BANC CORP.,DELTA NATIONAL BANCORP
20,Delmarva Bancshares,"DELMARVA BANCSHARES, INC.",DELMAR BANCORP,DREXEL MORGAN & CO.,"DENMARK BANCSHARES, INC.","DELAWARE BANCSHARES, INC."
21,First Finl Bankshares,"FIRST BANKSHARES, INC.",FIRST BANCSHARES INC.,"FIRST BANCSHARES, INC.","FIRST STATE BANKSHARES, INC.","FIRST BANKSHARES OF LAS ANIMAS, INC."
22,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,"SUNTRUST BANKS, INC.","MERCHANTS TRUST, INC.","MACON BANCTRUST, INC.",INTRUST FINANCIAL CORPORATION
23,Pinnacle Financial Partners,"PINNACLE BANCORP, INC.","PINNACLE BANCSHARES, INC.",PINNACLE FINANCIAL CORPORATION,PINNACLE BANKSHARES CORPORATION,"PINNACLE FINANCIAL PARTNERS, INC."
24,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.",HEARTLAND BANCCORP,"HEARTLAND BANCORP, INC.",HOOSIER HEARTLAND STATE BANCORP,"HEARTLAND BANCSHARES, INC."
25,Hamilton Bancorp,"HAMILTON STATE BANCSHARES, INC.","MILTON BANCORP, INC.","MILTON BANCSHARES, INC.","WEST MILTON BANCORP, INC.","CHAMBANCO, INC."
26,CenterState Banks,"CENTERSTATE BANKS, INC.",GENEVA STATE COMPANY,"CENTRAL-STATE BANCORP, INC.",HENDERSON STATE COMPANY,"FIRST INTERSTATE BANCSYSTEM, INC."
27,Unitedmmunity Banks,"UNITED COMMUNITY BANKS, INC.","ASSOCIATED COMMUNITY BANCORP, INC.",COMMUNITYCORP,"UNITED COMMUNITY BANCSHARES, INC.","UNITED COMMUNITY BANCORP, INC."
28,Heritagemmerce,HERITAGE COMMERCE CORP,"HERITAGE GROUP, INC.",HERITAGE BANCORP,"HERITAGE BANCORP, INC.","HERITAGE BANCSHARES, INC."
29,Merchants Bancshares,MERCHANTS BANCORP,"MERCHANTS TRUST, INC.","MERCHANTS BANCORP, INC.",MERCHANTS HOLDING COMPANY,"MERCHANTS BANCSHARES, INC."
30,Pinnacle Financial Partners,"PINNACLE BANCORP, INC.","PINNACLE BANCSHARES, INC.",PINNACLE FINANCIAL CORPORATION,PINNACLE BANKSHARES CORPORATION,"PINNACLE FINANCIAL PARTNERS, INC."
31,Bank of the Ozarks,BANK OF THE OZARKS INC,"PINNACLE BANCSHARES, INC.","PINNACLE FINANCIAL PARTNERS, INC.","PINNACLE BANCORP, INC.",PINNACLE BANKSHARES CORPORATION
32,Baylake,BAYLAKE CORP.,BAYBANK CORPORATION,CAYUGA LAKE BANK CORPORATION,"CLARKEL, INC.",BARCLAYS PLC
33,Firstmmonwealth Finl,"COMMONWEALTH BANCSHARES, INC.","COMMONWEALTH HOLDINGS, L.L.C.",FIRST NATIONAL BANCORP,FIRST COMMONWEALTH FINANCIAL CORPORATION,FIRST NATIONAL UTICA COMPANY
34,FNB Bancorp,"FNB, INC.",FNB BANCORP,FNB COMPANY,"FNB SHARES, INC.",FNB CORPORATION
35,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.",HEARTLAND BANCCORP,"HEARTLAND BANCORP, INC.",HOOSIER HEARTLAND STATE BANCORP,"HEARTLAND BANCSHARES, INC."
36,Southwest Bancorp,"SOUTHWEST BANCORP, INC.","SOUTHWEST SECURITY, INC.","SOUTHWEST CAPITAL, L.L.C.","SOUTHWEST BANCSHARES, INC.","SOUTHWEST BANC SHARES, INC."
37,Green Bancorp,"GREEN BANCORP, INC.",GREEN DOT CORPORATION,"FIRST GREEN BANCORP, INC.","GREEN VALLEY BANCORP, MHC",GREEN BELT BANCORPORATION
38,FNB,"FNB, INC.",FNB BANCORP,FNB COMPANY,"FNB SHARES, INC.",FNB CORPORATION
39,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.",HEARTLAND BANCCORP,"HEARTLAND BANCORP, INC.",HOOSIER HEARTLAND STATE BANCORP,"HEARTLAND BANCSHARES, INC."
40,BNC Bancorp,BNC BANCORP,"HTB, INC.","FNB, INC.","CBC, INC.","BNCCORP, INC."
41,Home BancShares,"HOME BANCORP, INC.",HOME STATE BANCORP,"HOME BANCSHARES, INC.",HOME FINANCIAL BANCORP,"HOME STATE BANCORP, INC."
42,PBB Bancorp,PBB BANCORP,CBB BANCORP,RBB BANCORP,BBS CORP.,TPB BANCORP
43,Northwest Bancorp,NORTHWEST EQUITY CORP.,STATE BANCORP NORTHWEST,FIRST NORTHWEST BANCORP,NORTHWEST FINANCIAL CORP.,NORTHWEST INDIANA BANCORP
44,Juniata Valley Financial,JUNIATA VALLEY FINANCIAL CORP.,"MOUNTAIN VALLEY BANCSHARES, INC.","FREDONIA VALLEY BANCORP, INC.","NODAWAY VALLEY BANCSHARES, INC.","MOUNTAIN-VALLEY BANCSHARES, INC."
45,First Merchants,FIRST MERCHANTS CORPORATION,FIRST FARMERS AND MERCHANTS CORPORATION,FARMERS & MERCHANTS BANCORP,"FARMERS & MERCHANTS AGENCY, INC.","FARMERS & MERCHANTS BANCORP, INC."
46,Citizens Finl Svcs,"CITIZENS INVESTORS, LLC",CITIZENS BANCORP,CITIZENS CORPORATION,"CITIZENS BANCORP, INC","CITIZENS BANCORP, INC."
47,Premier Finl Bancorp,"PREMIER HOLDINGS, LTD",PREMIER FINANCIAL CORP.,"PREMIER BANCSHARES, INC.",PREMIER COMMERCIAL BANCORP,"PACIFIC PREMIER BANCORP, INC."
48,Nationalmmerce,AMG NATIONAL CORP.,NATIONAL COMMERCE CORPORATION,"NATIONAL BANCORP, INC.","CAPITAL COMMERCE BANCORP, INC.",OLD NATIONAL BANCORP
49,Amer Riviera Bank,AMERICAN RIVER BANKSHARES,SUGAR RIVER BANCORP MHC,TWO RIVER BANCORP,PINE RIVER BANK CORP.,"RED RIVER BANCORP, INC."
50,Preferred Bank,"PREFERRED BANCORP, INC.","PREMIER HOLDINGS, LTD",SPENCER MHC,"PREMIER BANCSHARES, INC.",FREEDOM BANCORP
51,Independent Bank Group,"INDEPENDENT BANK GROUP, INC.",INDEPENDENT BANK CORP.,"INDEPENDENT BANCORP., LIMITED","INDEPENDENT HOLDINGS, INC","INDEPENDENT COMMUNITY BANCORP, INC."
52,Suncrest Bank,"SUNTRUST BANKS, INC.","BANCWEST, INC.",TRICO BANCSHARES,OSAKIS BANCSHARES,PACWEST BANCORP
53,Glacier Bancorp,"GLACIER BANCORP, INC.",ALLIANCE BANCORP,MARINER'S BANCORP,"GALVA INVESTMENT, INC.","GENBANC, INC."
54,FNB,"FNB, INC.",FNB BANCORP,FNB COMPANY,"FNB SHARES, INC.",FNB CORPORATION
55,Lakeland Bancorp,"LAKELAND BANCORP, INC.",LAKELAND FINANCIAL CORPORATION,"CLARKEL, INC.",ANTLER LAND COMPANY,TIMBERLAND BANCORP
56,Old Line Bancshares,"OLD LINE BANCSHARES, INC.",ALLIANCE BANCORP,"POPULAR, INC.","ONE WORLD HOLDING, INC.",OLD NATIONAL BANCORP
57,Prosperity Bancshares,"PROSPERITY BANCSHARES, INC.",FIRST SECURITY GROUP,"FIRST SECURITY, INC.","F.S.B. PROPERTIES, INC.",FIRST SECURITY BANCORP
58,BNC Bancorp,BNC BANCORP,"HTB, INC.","FNB, INC.","CBC, INC.","BNCCORP, INC."
59,BB&T,BB&T CORPORATION,BBS CORP.,"CSB&T BANCORP, INC.","CB&T BANCSHARES, INC.",SVB&T CORPORATION
60,Oak Valley Bancorp,OAK VALLEY BANCORP,"LAKE VALLEY BANCORP, INC.","ARK VALLEY BANKSHARES, INC.","KAW VALLEY BANCORP, INC.",OHIO VALLEY BANC CORP.
61,California Bank ofmmerce,"BANC OF CALIFORNIA, INC.",SECURITY CALIFORNIA BANCORP,CALIFORNIA REPUBLIC BANCORP,"NORTHERN CALIFORNIA BANCORP, INC.",CALIFORNIA FIRST NATIONAL BANCORP
62,Park Sterling,PARK STERLING CORPORATION,STERLING BANCORP,"MOUNT STERLING BANCORP, INC","STERLING BANCSHARES, INC.","STERLING CITY BANCSHARES, INC."
63,Ameris Bancorp,AMERIS BANCORP,"FARMMERC, INC.","AMERIGROUP, INC.","AMERIBANCSHARES, INC.","AMERISERV FINANCIAL, INC"
64,Pacific Premier Bancorp,"PACIFIC PREMIER BANCORP, INC.",TRANS PACIFIC BANCORP,PACIFIC ENTERPRISE BANCORP,ALTAPACIFIC BANCORP,"PRIME PACIFIC FINANCIAL SERVICES, INC."
65,CenterState Banks,"CENTERSTATE BANKS, INC.",GENEVA STATE COMPANY,"CENTRAL-STATE BANCORP, INC.",HENDERSON STATE COMPANY,"FIRST INTERSTATE BANCSYSTEM, INC."
66,Republic Bancorp,REPUBLIC BANCORP CO.,"REPUBLIC BANCORP, INC.","REPUBLIC BANCSHARES, INC.",CALIFORNIA REPUBLIC BANCORP,"REPUBLIC FIRST BANCORP, INC."
67,Yadkin Financial,YADKIN FINANCIAL CORPORATION,"BRAD, INC.","B BANK, INC.","ADBANC, INC.","ELYSIAN, INC."
68,Bank of the Ozarks,BANK OF THE OZARKS INC,BANK OF THE CAROLINAS CORPORATION,"ADINO COMPANY, THE","BANCSHARES OF EASTERN ARKANSAS, INC.","BARKER BROTHERS, INC."
69,Revere Bank,"EVEREST BANCSHARES, INC.","BEAVER BANCORP, INC.",RIVER VALLEY BANCORP,"LAVERNE BANCSHARES, INC.",GREENE INVESTMENT CO.
70,Renasant,RENASANT CORPORATION,"LAURENS BANCORP., LTD.",GENEVA STATE COMPANY,NORTHEAST BANCORP,"FIRSNABANCO, INC."
71,Southern BancShares(NC)Inc,"SOUTHERN BANCSHARES (N.C.), INC.","SOUTHERN BANCSHARES, INC.","FIRST SOUTHERN BANCSHARES, INC.","SOUTHERN BANKSHARES, INC.","CITIZENS SOUTHERN BANCSHARES, INC."
72,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.",HEARTLAND BANCCORP,"HEARTLAND BANCORP, INC.",HOOSIER HEARTLAND STATE BANCORP,"HEARTLAND BANCSHARES, INC."
73,Fidelity Southern,FIDELITY SOUTHERN CORPORATION,"FIDELITY BANCSHARES, INC.","FIDELITY BANCORP, INC.","FIRST SOUTHERN BANCORP, INC.",FIDELITY COMPANY
74,German American Bancorp,"GERMAN AMERICAN BANCORP, INC.",ONE AMERICAN CORP.,CUMMINS-AMERICAN CORP.,FIRST AMERICAN BANCORP,"FIRST AMERICAN INVESTMENT, INC."
75,KeyCorp,KEYCORP,BAYLAKE CORP.,KENBANCORP,"ELKCORP, INC.",CENTURY BANK CORP.
76,Seacoast Bankg of Florida,STATE BANK OF INDIA,"BRANNEN BANKS OF FLORIDA, INC.","COMMUNITY BANK OF SOUTH FLORIDA, INC.",COAST BANCORP,"BANK OF NOVA SCOTIA, THE"
77,Cardinal Bankshares,CARDINAL BANKSHARES CORPORATION,"NATIONAL BANKSHARES, INC.","REGIONAL BANKSHARES, INC.","SARDIS BANKSHARES, INC.",JONAH BANKSHARES
78,Bank of the Ozarks,CARDINAL BANKSHARES CORPORATION,BANK OF THE OZARKS INC,"COMMERCIAL BANCSHARES OF OZARK, INC.",JONAH BANKSHARES,"SARDIS BANKSHARES, INC."
79,United Bankshares,"UNITED BANKSHARES, INC.","UNITED BANCSHARES, INC.","UNION BANKSHARES, INC.","COMMUNITY BANKSHARES, INC.","UNITY BANCSHARES, L.L.C."
80,BNC Bancorp,BNC BANCORP,"HTB, INC.","FNB, INC.","CBC, INC.","BNCCORP, INC."
81,County Bancorp,COUNTY BANK CORP,TRI-COUNTY COMPANY,TRI-COUNTY BANCORP.,"COUNTY BANCORP, INC.","TRI-COUNTY BANCORP, INC."
82,MB Financial,"MB FINANCIAL, INC.",MBT CORP.,AMBANCORP,"AMBAGE, INC.","JRMB II, INC"
83,Hanmi Financial,HANMI FINANCIAL CORPORATION,BNH FINANCIAL,"CHAMBANCO, INC.","MECHANICS BANCORP, MHC","BANCO HARLAN, INC."
84,Capital Bank Financial,"CKH CAPITAL, INC.",LEE CAPITAL CORP.,"PEDCOR CAPITAL, LLC","CAPITAL BANCORP, INC.",QUANTUM CAPITAL CORP.
85,WSFS Financial,"WFC, INC.","SSB, INC.",FSB CORP.,"KSRS, LLC","SSNB, INC."
86,Great Western Bancorp,"DAKOTA WESTERN BANKSHARES, INC.","FIRST WESTERN FINANCIAL, INC.","GREAT SOUTHERN BANCORP, INC.","EAST WEST BANCORP, INC.",GREAT SOUTHERN CAPITAL CORPORATION
87,Charter Financial,"CHARTER BANCSHARES, INC.","CHARTER BANKSHARES, INC.",TRICO BANCSHARES,CB BANCSHARES CORP,"AMERICAN CHARTERED BANCORP, INC."
88,BBCN Bancorp,"BBCN BANCORP, INC.","CBC, INC.",BBS CORP.,"BERCO, INC.","B BANK, INC."
89,BOK Financial,BOK FINANCIAL CORPORATION,"BBOK BANCSHARES, INC.",BANCORP OF OKOLONA,BOR BANCORP,BEO BANCORP
90,Franklin Financial Network,"FRANKLIN FINANCIAL NETWORK, INC.","FRANKLIN BANCORP, INC.",FRANKLIN BANCORP MHC,"COMMODORE FINANCIAL NETWORK, INC.","FRANKLIN BANCSHARES, INC"
91,Pacificmmerce Bank,"PACIFIC PREMIER BANCORP, INC.",ALTAPACIFIC BANCORP,TRANS PACIFIC BANCORP,CHINO COMMERCIAL BANCORP,CITIZENS COMMERCE CORPORATION
