ticker,security,sector,sub industry,location,date
ICE,Intercontinental Exchange,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IBM,International Business Machines,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
INCY,Incyte,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IP,International Paper,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IPG,Interpublic Group,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IFF,Intl Flavors & Fragrances,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
INTU,Intuit Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ISRG,Intuitive Surgical Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IVZ,Invesco Ltd.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IPGP,IPG Photonics Corp.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IQV,IQVIA Holdings Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IRM,Iron Mountain Incorporated,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JEC,Jacobs Engineering Group,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JBHT,J. B. Hunt Transport Services,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JEF,Jefferies Financial Group,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SJM,JM Smucker,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JCI,Johnson Controls International,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JPM,JPMorgan Chase & Co.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JNPR,Juniper Networks,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KSU,Kansas City Southern,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
K,Kellogg Co.,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KEY,KeyCorp,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KEYS,Keysight Technologies,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KMB,Kimberly-Clark,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KIM,Kimco Realty,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KMI,Kinder Morgan,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KLAC,KLA-Tencor Corp.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KSS,Kohl's Corp.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KHC,Kraft Heinz Co,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KR,Kroger Co.,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LB,L Brands Inc.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LLL,L-3 Communications Holdings,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LH,Laboratory Corp. of America Holding,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LRCX,Lam Research,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LEG,Leggett & Platt,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LEN,Lennar Corp.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LNC,Lincoln National,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LIN,Linde plc,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LKQ,LKQ Corporation,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LMT,Lockheed Martin Corp.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
L,Loews Corp.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LOW,Lowe's Cos.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LYB,LyondellBasell,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MTB,M&T Bank Corp.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MAC,Macerich,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
M,Macy's Inc.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MRO,Marathon Oil Corp.,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MPC,Marathon Petroleum,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MAR,Marriott Int'l.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MMC,Marsh & McLennan,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MLM,Martin Marietta Materials,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MAS,Masco Corp.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MA,Mastercard Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MAT,Mattel Inc.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MKC,McCormick & Co.,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MCD,McDonald's Corp.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MCK,McKesson Corp.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MDT,Medtronic plc,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MET,MetLife Inc.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MTD,Mettler Toledo,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MGM,MGM Resorts International,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KORS,Michael Kors Holdings,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MCHP,Microchip Technology,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MU,Micron Technology,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MSFT,Microsoft Corp.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MAA,Mid-America Apartments,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MHK,Mohawk Industries,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TAP,Molson Coors Brewing Company,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MDLZ,Mondelez International,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MNST,Monster Beverage,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MCO,Moody's Corp,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MS,Morgan Stanley,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MOS,The Mosaic Company,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MSI,Motorola Solutions Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MSCI,MSCI Inc,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NDAQ,"Nasdaq, Inc.",Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NOV,National Oilwell Varco Inc.,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NKTR,Nektar Therapeutics,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NTAP,NetApp,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NFLX,Netflix Inc.,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NWL,Newell Brands,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NFX,Newfield Exploration Co,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NEM,Newmont Mining Corporation,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NWSA,News Corp. Class A,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NWS,News Corp. Class B,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NEE,NextEra Energy,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NLSN,Nielsen Holdings,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NKE,Nike,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NI,NiSource Inc.,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NBL,Noble Energy Inc,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
JWN,Nordstrom,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NSC,Norfolk Southern Corp.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NTRS,Northern Trust Corp.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NOC,Northrop Grumman Corp.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NCLH,Norwegian Cruise Line,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NRG,NRG Energy,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NUE,Nucor Corp.,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
NVDA,Nvidia Corporation,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ORLY,O'Reilly Automotive,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
OXY,Occidental Petroleum,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
OMC,Omnicom Group,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
OKE,ONEOK,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ORCL,Oracle Corp.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PCAR,PACCAR Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PKG,Packaging Corporation of America,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PH,Parker-Hannifin,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PAYX,Paychex Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PYPL,PayPal,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PNR,Pentair plc,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PBCT,People's United Financial,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PEP,PepsiCo Inc.,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PKI,PerkinElmer,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PRGO,Perrigo,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PCG,PG&E Corp.,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PM,Philip Morris International,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PSX,Phillips 66,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PNW,Pinnacle West Capital,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PXD,Pioneer Natural Resources,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PNC,PNC Financial Services,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PPG,PPG Industries,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PPL,PPL Corp.,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PFG,Principal Financial Group,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PG,Procter & Gamble,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PGR,Progressive Corp.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PLD,Prologis,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PRU,Prudential Financial,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PEG,Public Serv. Enterprise Inc.,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PSA,Public Storage,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PHM,Pulte Homes Inc.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PVH,PVH Corp.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
QRVO,Qorvo,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
PWR,Quanta Services Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
QCOM,QUALCOMM Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DGX,Quest Diagnostics,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
RJF,Raymond James Financial Inc.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
RTN,Raytheon Co.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
O,Realty Income Corporation,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
RHT,Red Hat Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
REG,Regency Centers Corporation,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
REGN,Regeneron,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
RF,Regions Financial Corp.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
RSG,Republic Services Inc,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
RMD,ResMed,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
RHI,Robert Half International,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ROK,Rockwell Automation Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
COL,Rockwell Collins,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ROL,Rollins Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ROP,Roper Technologies,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ROST,Ross Stores,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CRM,Salesforce.com,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SBAC,SBA Communications,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SCG,SCANA Corp,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SLB,Schlumberger Ltd.,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
STX,Seagate Technology,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SEE,Sealed Air,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SRE,Sempra Energy,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SHW,Sherwin-Williams,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SPG,Simon Property Group Inc,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SWKS,Skyworks Solutions,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SLG,SL Green Realty,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SNA,Snap-on,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SO,Southern Co.,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LUV,Southwest Airlines,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SPGI,"S&P Global, Inc.",Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SWK,Stanley Black & Decker,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SBUX,Starbucks Corp.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
STT,State Street Corp.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SRCL,Stericycle Inc,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SYK,Stryker Corp.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
STI,SunTrust Banks,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SIVB,SVB Financial,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SYMC,Symantec Corp.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SYF,Synchrony Financial,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SNPS,Synopsys Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SYY,Sysco Corp.,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TROW,T. Rowe Price Group,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TTWO,Take-Two Interactive,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TPR,"Tapestry, Inc.",Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TGT,Target Corp.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TEL,TE Connectivity Ltd.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FTI,TechnipFMC,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TXN,Texas Instruments,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TXT,Textron Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TMO,Thermo Fisher Scientific,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TIF,Tiffany & Co.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TWTR,"Twitter, Inc.",Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TJX,TJX Companies Inc.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TMK,Torchmark Corp.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TSS,Total System Services,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TSCO,Tractor Supply Company,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TDG,TransDigm Group,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TRV,The Travelers Companies Inc.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TRIP,TripAdvisor,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FOXA,Twenty-First Century Fox Class A,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FOX,Twenty-First Century Fox Class B,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
TSN,Tyson Foods,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
UDR,UDR Inc,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ULTA,Ulta Beauty,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
USB,U.S. Bancorp,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
UAA,Under Armour Class A,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
UA,Under Armour Class C,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
UNP,Union Pacific,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
UAL,United Continental Holdings,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
UNH,United Health Group Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
UPS,United Parcel Service,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
URI,"United Rentals, Inc.",Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
UTX,United Technologies,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
UHS,"Universal Health Services, Inc.",Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
UNM,Unum Group,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
VFC,V.F. Corp.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
VLO,Valero Energy,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
VAR,Varian Medical Systems,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
VTR,Ventas Inc,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
VRSN,Verisign Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
VRSK,Verisk Analytics,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
VZ,Verizon Communications,"Communication Services
",Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
VRTX,Vertex Pharmaceuticals Inc,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
VIAB,Viacom Inc.,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
V,Visa Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
VNO,Vornado Realty Trust,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
VMC,Vulcan Materials,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WMT,Walmart,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WBA,Walgreens Boots Alliance,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DIS,The Walt Disney Company,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WM,Waste Management Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WAT,Waters Corporation,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WEC,Wec Energy Group Inc,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WCG,WellCare,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WFC,Wells Fargo,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WELL,Welltower Inc.,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WDC,Western Digital,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WU,Western Union Co,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WRK,WestRock,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WY,Weyerhaeuser,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WHR,Whirlpool Corp.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WMB,Williams Cos.,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WLTW,Willis Towers Watson,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
XEL,Xcel Energy Inc,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
XRX,Xerox,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
XLNX,Xilinx,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
XYL,Xylem Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
YUM,Yum! Brands Inc,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ZBH,Zimmer Biomet Holdings,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ZION,Zions Bancorp,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
